Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Private
Ocultation by Ananke,02/18/2016,15:28,02/18/2016,15:28,False,"Coord Star: 11 31 59.3078 +04 18 25.0920
C/A: 0.118 arcsec
P/A 198.88 deg
Velocity: -15.87 km/s
Distance: 4.53 AU
MagR: 14.5
",False
Ocultation by Ananke,03/28/2016,09:07,03/28/2016,09:07,False,"Coord Star: 11 12 45.3316 +05 57 30.0800
C/A: 0.831 arcsec
P/A 18.69 deg
Velocity: -16.94 km/s
Distance: 4.57 AU
MagR: 13.3
",False
Ocultation by Ananke,07/16/2016,18:02,07/16/2016,18:02,False,"Coord Star: 11 19 37.7037 +04 41 32.1950
C/A: 1.429 arcsec
P/A 23.13 deg
Velocity: 27.35 km/s
Distance: 6.1 AU
MagR: 14.3
",False
Ocultation by Ananke,08/11/2016,06:59,08/11/2016,06:59,False,"Coord Star: 11 35 16.5387 +03 02 10.4220
C/A: 1.678 arcsec
P/A 202.92 deg
Velocity: 34.92 km/s
Distance: 6.37 AU
MagR: 15.4
",False
Ocultation by Ananke,11/01/2016,16:25,11/01/2016,16:25,False,"Coord Star: 12 36 20.9712 -03 15 54.1170
C/A: 0.149 arcsec
P/A 21.56 deg
Velocity: 37.66 km/s
Distance: 6.34 AU
MagR: 13.6
",False
Ocultation by Ananke,11/01/2016,16:59,11/01/2016,16:59,False,"Coord Star: 12 36 21.9616 -03 16 01.1840
C/A: 1.275 arcsec
P/A 21.55 deg
Velocity: 37.65 km/s
Distance: 6.34 AU
MagR: 16.7
",False
Ocultation by Ananke,11/07/2016,22:17,11/07/2016,22:17,False,"Coord Star: 12 40 52.3402 -03 42 30.0960
C/A: 0.808 arcsec
P/A 21.32 deg
Velocity: 36.37 km/s
Distance: 6.28 AU
MagR: 17.0
",False
Ocultation by Ananke,11/13/2016,10:02,11/13/2016,10:02,False,"Coord Star: 12 44 45.2518 -04 05 02.9330
C/A: 1.48 arcsec
P/A 21.08 deg
Velocity: 35.07 km/s
Distance: 6.22 AU
MagR: 16.0
",False
Ocultation by Ananke,11/23/2016,03:12,11/23/2016,03:12,False,"Coord Star: 12 51 21.9394 -04 42 40.5950
C/A: 0.535 arcsec
P/A 200.6 deg
Velocity: 32.43 km/s
Distance: 6.1 AU
MagR: 16.6
",False
Ocultation by Ananke,11/26/2016,15:32,11/26/2016,15:32,False,"Coord Star: 12 53 39.6069 -04 55 31.4770
C/A: 0.711 arcsec
P/A 20.41 deg
Velocity: 31.35 km/s
Distance: 6.05 AU
MagR: 14.1
",False
Ocultation by Ananke,12/03/2016,07:47,12/03/2016,07:47,False,"Coord Star: 12 57 51.3077 -05 18 36.3020
C/A: 1.748 arcsec
P/A 19.99 deg
Velocity: 29.13 km/s
Distance: 5.96 AU
MagR: 10.5
",False
Ocultation by Ananke,12/07/2016,11:23,12/07/2016,11:23,False,"Coord Star: 13 00 20.4898 -05 31 59.3140
C/A: 1.043 arcsec
P/A 19.69 deg
Velocity: 27.64 km/s
Distance: 5.9 AU
MagR: 13.9
",False
Ocultation by Ananke,02/13/2017,20:51,02/13/2017,20:51,False,"Coord Star: 13 20 55.5558 -06 51 31.7200
C/A: 1.747 arcsec
P/A 55.16 deg
Velocity: -3.25 km/s
Distance: 4.78 AU
MagR: 12.0
",False
Ocultation by Ananke,04/03/2017,06:26,04/03/2017,06:26,False,"Coord Star: 13 07 41.6706 -04 56 31.1470
C/A: 1.359 arcsec
P/A 26.38 deg
Velocity: -15.08 km/s
Distance: 4.36 AU
MagR: 15.8
",False
Ocultation by Ananke,04/11/2017,02:56,04/11/2017,02:56,False,"Coord Star: 13 04 27.2382 -04 32 47.3940
C/A: 1.888 arcsec
P/A 205.71 deg
Velocity: -14.93 km/s
Distance: 4.35 AU
MagR: 15.3
",False
Ocultation by Ananke,05/01/2017,03:59,05/01/2017,03:59,False,"Coord Star: 12 56 54.8795 -03 40 30.7310
C/A: 1.501 arcsec
P/A 203.87 deg
Velocity: -11.75 km/s
Distance: 4.42 AU
MagR: 14.4
",False
Ocultation by Ananke,05/02/2017,03:43,05/02/2017,03:43,False,"Coord Star: 12 56 35.9797 -03 38 25.7490
C/A: 1.62 arcsec
P/A 203.75 deg
Velocity: -11.5 km/s
Distance: 4.43 AU
MagR: 15.5
",False
Ocultation by Ananke,07/27/2017,11:04,07/27/2017,11:04,False,"Coord Star: 13 05 12.2828 -05 05 17.8850
C/A: 0.549 arcsec
P/A 26.93 deg
Velocity: 23.14 km/s
Distance: 5.63 AU
MagR: 16.6
",False
Ocultation by Ananke,08/03/2017,21:59,08/03/2017,21:59,False,"Coord Star: 13 09 00.7302 -05 33 55.6790
C/A: 0.126 arcsec
P/A 26.55 deg
Velocity: 25.81 km/s
Distance: 5.75 AU
MagR: 15.2
",False
Ocultation by Ananke,08/05/2017,06:27,08/05/2017,06:27,False,"Coord Star: 13 09 44.3857 -05 39 21.0530
C/A: 0.44 arcsec
P/A 26.48 deg
Velocity: 26.27 km/s
Distance: 5.77 AU
MagR: 16.8
",False
Ocultation by Ananke,08/18/2017,13:35,08/18/2017,13:35,False,"Coord Star: 13 17 25.5265 -06 35 36.2980
C/A: 0.796 arcsec
P/A 25.82 deg
Velocity: 30.48 km/s
Distance: 5.97 AU
MagR: 15.9
",False
Ocultation by Ananke,08/27/2017,05:04,08/27/2017,05:04,False,"Coord Star: 13 22 53.3278 -07 14 32.8270
C/A: 0.803 arcsec
P/A 205.38 deg
Velocity: 32.87 km/s
Distance: 6.09 AU
MagR: 16.4
",False
Ocultation by Ananke,12/12/2017,00:35,12/12/2017,00:35,False,"Coord Star: 14 42 11.5647 -15 14 37.6370
C/A: 1.691 arcsec
P/A 19.29 deg
Velocity: 34.2 km/s
Distance: 6.31 AU
MagR: 14.2
",False
Ocultation by Ananke,12/15/2017,22:59,12/15/2017,22:59,False,"Coord Star: 14 44 55.3604 -15 28 18.4380
C/A: 1.39 arcsec
P/A 199.07 deg
Velocity: 33.14 km/s
Distance: 6.27 AU
MagR: 16.9
",False
Ocultation by Ananke,12/19/2017,10:54,12/19/2017,10:54,False,"Coord Star: 14 47 17.5831 -15 40 08.5080
C/A: 1.61 arcsec
P/A 18.89 deg
Velocity: 32.13 km/s
Distance: 6.23 AU
MagR: 16.1
",False
Ocultation by Ananke,12/22/2017,09:13,12/22/2017,09:13,False,"Coord Star: 14 49 14.2765 -15 49 40.0860
C/A: 0.738 arcsec
P/A 198.74 deg
Velocity: 31.23 km/s
Distance: 6.2 AU
MagR: 16.5
",False
Ocultation by Ananke,12/23/2017,04:20,12/23/2017,04:20,False,"Coord Star: 14 49 45.5211 -15 52 14.1930
C/A: 0.499 arcsec
P/A 18.71 deg
Velocity: 30.98 km/s
Distance: 6.19 AU
MagR: 16.6
",False
Ocultation by Ananke,12/23/2017,19:24,12/23/2017,19:24,False,"Coord Star: 14 50 10.0490 -15 54 14.4510
C/A: 1.043 arcsec
P/A 18.67 deg
Velocity: 30.78 km/s
Distance: 6.18 AU
MagR: 16.0
",False
Ocultation by Ananke,01/07/2018,01:35,01/07/2018,01:35,False,"Coord Star: 14 58 51.3338 -16 35 43.8520
C/A: 1.74 arcsec
P/A 18.02 deg
Velocity: 25.8 km/s
Distance: 5.99 AU
MagR: 12.6
",False
Ocultation by Ananke,01/10/2018,17:46,01/10/2018,17:46,False,"Coord Star: 15 00 53.2960 -16 45 11.5090
C/A: 1.762 arcsec
P/A 17.88 deg
Velocity: 24.37 km/s
Distance: 5.93 AU
MagR: 16.6
",False
Ocultation by Ananke,01/21/2018,14:49,01/21/2018,14:49,False,"Coord Star: 15 06 18.8419 -17 10 00.1710
C/A: 0.219 arcsec
P/A 197.53 deg
Velocity: 19.83 km/s
Distance: 5.76 AU
MagR: 13.5
",False
Ocultation by Ananke,01/23/2018,04:24,01/23/2018,04:24,False,"Coord Star: 15 07 00.8790 -17 13 11.2860
C/A: 0.716 arcsec
P/A 17.5 deg
Velocity: 19.15 km/s
Distance: 5.74 AU
MagR: 16.1
",False
Ocultation by Ananke,01/24/2018,06:55,01/24/2018,06:55,False,"Coord Star: 15 07 29.8456 -17 15 19.9860
C/A: 1.225 arcsec
P/A 197.47 deg
Velocity: 18.66 km/s
Distance: 5.72 AU
MagR: 12.9
",False
Ocultation by Ananke,01/28/2018,00:48,01/28/2018,00:48,False,"Coord Star: 15 09 02.9605 -17 22 18.7020
C/A: 1.34 arcsec
P/A 197.4 deg
Velocity: 16.98 km/s
Distance: 5.66 AU
MagR: 15.0
",False
Ocultation by Ananke,02/08/2018,15:59,02/08/2018,15:59,False,"Coord Star: 15 13 00.7762 -17 40 04.4210
C/A: 0.226 arcsec
P/A 17.41 deg
Velocity: 11.6 km/s
Distance: 5.46 AU
MagR: 15.7
",False
Ocultation by Ananke,02/09/2018,10:23,02/09/2018,10:23,False,"Coord Star: 15 13 13.5199 -17 41 02.9570
C/A: 1.574 arcsec
P/A 17.42 deg
Velocity: 11.23 km/s
Distance: 5.45 AU
MagR: 15.4
",False
Ocultation by Ananke,03/21/2018,19:17,03/21/2018,19:17,False,"Coord Star: 15 14 43.4668 -17 50 47.2940
C/A: 0.784 arcsec
P/A 194.53 deg
Velocity: -7.39 km/s
Distance: 4.8 AU
MagR: 15.3
",False
Ocultation by Ananke,03/23/2018,16:56,03/23/2018,16:56,False,"Coord Star: 15 14 18.5238 -17 49 14.7000
C/A: 0.407 arcsec
P/A 194.72 deg
Velocity: -8.14 km/s
Distance: 4.77 AU
MagR: 15.5
",False
Ocultation by Ananke,03/28/2018,22:15,03/28/2018,22:15,False,"Coord Star: 15 12 57.3660 -17 44 07.0340
C/A: 1.488 arcsec
P/A 15.15 deg
Velocity: -10.09 km/s
Distance: 4.7 AU
MagR: 13.9
",False
Ocultation by Ananke,03/31/2018,05:08,03/31/2018,05:08,False,"Coord Star: 15 12 16.2627 -17 41 24.4540
C/A: 1.174 arcsec
P/A 195.29 deg
Velocity: -10.89 km/s
Distance: 4.68 AU
MagR: 15.7
",False
Ocultation by Ananke,04/03/2018,17:45,04/03/2018,17:45,False,"Coord Star: 15 11 06.3673 -17 36 51.5970
C/A: 1.168 arcsec
P/A 15.51 deg
Velocity: -12.05 km/s
Distance: 4.64 AU
MagR: 15.5
",False
Ocultation by Ananke,04/06/2018,00:21,04/06/2018,00:21,False,"Coord Star: 15 10 17.3782 -17 33 35.5360
C/A: 0.369 arcsec
P/A 15.64 deg
Velocity: -12.76 km/s
Distance: 4.61 AU
MagR: 11.7
",False
Ocultation by Ananke,04/16/2018,06:36,04/16/2018,06:36,False,"Coord Star: 15 06 02.3964 -17 16 11.8280
C/A: 1.779 arcsec
P/A 196.2 deg
Velocity: -15.41 km/s
Distance: 4.52 AU
MagR: 16.1
",False
Ocultation by Ananke,04/17/2018,02:43,04/17/2018,02:43,False,"Coord Star: 15 05 39.3946 -17 14 37.1490
C/A: 0.654 arcsec
P/A 196.24 deg
Velocity: -15.58 km/s
Distance: 4.51 AU
MagR: 16.2
",False
Ocultation by Ananke,04/23/2018,22:27,04/23/2018,22:27,False,"Coord Star: 15 02 23.0935 -17 00 48.5710
C/A: 0.47 arcsec
P/A 16.62 deg
Velocity: -16.72 km/s
Distance: 4.47 AU
MagR: 16.2
",False
Ocultation by Ananke,04/25/2018,16:27,04/25/2018,16:27,False,"Coord Star: 15 01 30.6010 -16 57 01.5740
C/A: 1.137 arcsec
P/A 196.7 deg
Velocity: -16.93 km/s
Distance: 4.46 AU
MagR: 15.6
",False
Ocultation by Ananke,04/27/2018,20:50,04/27/2018,20:50,False,"Coord Star: 15 00 24.0962 -16 52 17.1070
C/A: 1.752 arcsec
P/A 16.82 deg
Velocity: -17.16 km/s
Distance: 4.45 AU
MagR: 15.9
",False
Ocultation by Ananke,05/02/2018,02:57,05/02/2018,02:57,False,"Coord Star: 14 58 12.3420 -16 42 40.4630
C/A: 1.236 arcsec
P/A 17.05 deg
Velocity: -17.45 km/s
Distance: 4.43 AU
MagR: 16.0
",False
Ocultation by Ananke,05/05/2018,21:35,05/05/2018,21:35,False,"Coord Star: 14 56 13.9467 -16 33 53.4000
C/A: 0.62 arcsec
P/A 197.25 deg
Velocity: -17.56 km/s
Distance: 4.42 AU
MagR: 15.3
",False
Ocultation by Ananke,05/10/2018,15:45,05/10/2018,15:45,False,"Coord Star: 14 53 44.5904 -16 22 43.2090
C/A: 1.705 arcsec
P/A 17.52 deg
Velocity: -17.48 km/s
Distance: 4.41 AU
MagR: 15.9
",False
Ocultation by Ananke,05/11/2018,05:26,05/11/2018,05:26,False,"Coord Star: 14 53 26.8441 -16 21 19.0720
C/A: 1.582 arcsec
P/A 197.55 deg
Velocity: -17.46 km/s
Distance: 4.41 AU
MagR: 15.2
",False
